Disease Name	Most General MONDO ID	Most General Label
Cerebrooculofacioskeletal syndrome	MONDO:0008926	COFS syndrome
Cerebrotendinous Xanthomatosis	MONDO:0008948	cerebrotendinous xanthomatosis
Cerebrotendinous xanthomatosis	MONDO:0008948	cerebrotendinous xanthomatosis
Chanarin-Dorfman syndrome	MONDO:0015611	neutral lipid storage disease
Char syndrome	MONDO:0008209	Char syndrome
Charcot-Marie-Tooth Disease	MONDO:0015626	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth Disease (Certain Subtypes)	MONDO:0019011	Charcot-Marie-Tooth disease type 1
Charcot-Marie-Tooth Disease (Severe Early-Onset Form)	MONDO:0007311	Charcot-Marie-Tooth disease type 1E
Charcot-Marie-Tooth Disease Type 2	MONDO:0018993	Charcot-Marie-Tooth disease type 2
Charcot-Marie-Tooth Disease Type 2 (CMT2)	MONDO:0011570	Charcot-Marie-Tooth disease type 2B2
Charcot-Marie-Tooth Disease Type 3 (Dejerine-Sottas Disease)	MONDO:0010551	Charcot-Marie-Tooth disease X-linked recessive 3
Charcot-Marie-Tooth Disease Type 4	MONDO:0018995	Charcot-Marie-Tooth disease type 4
Charcot-Marie-Tooth disease	MONDO:0015626	Charcot-Marie-Tooth disease
Charcot-Marie-Tooth disease (CMT)	MONDO:0019011	Charcot-Marie-Tooth disease type 1
Charcot-Marie-Tooth disease Type 4C	MONDO:0011113	Charcot-Marie-Tooth disease type 4C
Charcot-Marie-Tooth disease type 2	MONDO:0018993	Charcot-Marie-Tooth disease type 2
Charcot-Marie-Tooth disease type 2 (CMT2)	MONDO:0011570	Charcot-Marie-Tooth disease type 2B2
Charcot-Marie-Tooth disease type 4	MONDO:0018995	Charcot-Marie-Tooth disease type 4
Charcot-Marie-Tooth disease type 4C	MONDO:0011113	Charcot-Marie-Tooth disease type 4C
Chediak-Higashi Syndrome	MONDO:0008963	Chediak-Higashi syndrome
Chediak-Higashi syndrome	MONDO:0008963	Chediak-Higashi syndrome
Chiari II malformation	MONDO:0008816	Chiari malformation type II
Chiari Malformation Type I	MONDO:0007316	Chiari malformation type I
Chiari malformation	MONDO:0000115	Chiari malformation
Childhood disintegrative disorder	MONDO:0015681	childhood disintegrative disorder
Cholesterol ester storage disease (lysosomal acid lipase deficiency)	MONDO:0019149	cholesteryl ester storage disease
Cholesteryl ester storage disease (Lysosomal acid lipase deficiency)	MONDO:0019149	cholesteryl ester storage disease
Chondrodysplasia Punctata	MONDO:0019701	chondrodysplasia punctata
Chondrodysplasia punctata	MONDO:0019701	chondrodysplasia punctata
Chondrodysplasia punctata (rhizomelic type)	MONDO:0015776	rhizomelic chondrodysplasia punctata
Chondrodysplasia punctata type II (Conradi-Hünermann syndrome)	MONDO:0020603	X-linked chondrodysplasia punctata 2
Chorea-Acanthocytosis	MONDO:0008695	chorea-acanthocytosis
Chorea-acanthocytosis	MONDO:0008695	chorea-acanthocytosis
Choroid plexus papilloma	MONDO:0009837	choroid plexus papilloma
Choroideremia	MONDO:0010557	choroideremia
Christianson Syndrome	MONDO:0010278	Christianson syndrome
Christianson syndrome	MONDO:0010278	Christianson syndrome
Christianson syndrome (SLC9A6 mutations)	MONDO:0010278	Christianson syndrome
Chromosomal abnormalities (e.g., agenesis of the corpus callosum associated with genetic syndromes)	MONDO:0010224	corpus callosum agenesis-abnormal genitalia syndrome
Chromosomal anomalies involving 3q duplication	MONDO:0016954	partial duplication of the long arm of chromosome 3
Chromosomal microdeletion syndrome	MONDO:0012774	chromosome 15q13.3 microdeletion syndrome
Chromosome 16p11.2 deletion syndrome	MONDO:0012756	proximal 16p11.2 microdeletion syndrome
Chromosome 16p13.3 duplication syndrome	MONDO:0013273	chromosome 16p13.3 duplication syndrome
Chromosome 18p deletion syndrome	MONDO:0007800	chromosome 18p deletion syndrome
Chromosome 1p36 deletion syndrome	MONDO:0011929	chromosome 1p36 deletion syndrome
Chromosome 2q37 deletion syndrome	MONDO:0010886	2q37 microdeletion syndrome
Chromosome 3p deletion syndrome	MONDO:0013424	3p- syndrome
Chromosome 8p23.1 deletion syndrome	MONDO:0016658	8p23.1 microdeletion syndrome
Chromosome 9p Deletion Syndrome	MONDO:0008013	chromosome 9p deletion syndrome
Chromosome 9p deletion syndrome	MONDO:0008013	chromosome 9p deletion syndrome
Chronic Granulomatous Disease	MONDO:0018305	chronic granulomatous disease
Chronic Granulomatous Disease (CGD)	MONDO:0018305	chronic granulomatous disease
Chronic Inflammatory Demyelinating Polyneuropathy	MONDO:0006702	chronic inflammatory demyelinating polyradiculoneuropathy
Chronic Mucocutaneous Candidiasis	MONDO:0015279	chronic mucocutaneous candidiasis
Chronic Mucocutaneous Candidiasis (Familial Type)	MONDO:0013503	candidiasis, familial, 6
Chronic Mucocutaneous Candidiasis due to IL-17 Pathway Defects	MONDO:0013503	candidiasis, familial, 6
Chronic Progressive External Ophthalmoplegia	MONDO:0005181	progressive external ophthalmoplegia
Chronic granulomatous disease	MONDO:0018305	chronic granulomatous disease
Chronic granulomatous disease (CGD)	MONDO:0018305	chronic granulomatous disease
Chronic inflammatory demyelinating polyneuropathy	MONDO:0006702	chronic inflammatory demyelinating polyradiculoneuropathy
Chronic inflammatory demyelinating polyneuropathy (CIDP)	MONDO:0002335	obsolete chronic inflammatory demyelinating polyneuritis
Chronic mucocutaneous candidiasis	MONDO:0015279	chronic mucocutaneous candidiasis
Chronic mucocutaneous candidiasis disease	MONDO:0009645	chronic mucocutaneous candidiasis due to monocyte chemotactic disorder
Chronic myeloid leukemia	MONDO:0011996	chronic myelogenous leukemia, BCR-ABL1 positive
Chronic progressive external ophthalmoplegia	MONDO:0005181	progressive external ophthalmoplegia
Chronic progressive external ophthalmoplegia (CPEO)	MONDO:0018002	adult-onset chronic progressive external ophthalmoplegia with mitochondrial myopathy
Chudley-McCullough syndrome	MONDO:0011411	Chudley-McCullough syndrome
Chédiak-Higashi Syndrome	MONDO:0008963	Chediak-Higashi syndrome
Chédiak-Higashi syndrome	MONDO:0008963	Chediak-Higashi syndrome
Citrin Deficiency (Type II Citrullinemia)	MONDO:0016603	citrullinemia type II
Citrin deficiency (Neonatal intrahepatic cholestasis caused by citrin deficiency)	MONDO:0011601	neonatal intrahepatic cholestasis due to citrin deficiency
Citrin deficiency (Type II citrullinemia)	MONDO:0016603	citrullinemia type II
Citrin deficiency (neonatal intrahepatic cholestasis caused by citrin deficiency)	MONDO:0011601	neonatal intrahepatic cholestasis due to citrin deficiency
Citrullinemia Type I	MONDO:0008988	citrullinemia type I
Citrullinemia Type I (Argininosuccinate synthetase deficiency)	MONDO:0008988	citrullinemia type I
Citrullinemia Type II (Citrin Deficiency)	MONDO:0016603	citrullinemia type II
Citrullinemia type I	MONDO:0008988	citrullinemia type I
Citrullinemia type I (Argininosuccinate synthetase deficiency)	MONDO:0008988	citrullinemia type I
Citrullinemia type II (Citrin deficiency)	MONDO:0016603	citrullinemia type II
Citrullinemia type II (citrin deficiency)	MONDO:0016603	citrullinemia type II
Classic Ehlers-Danlos Syndrome	MONDO:0007522	Ehlers-Danlos syndrome, classic type
Classic homocystinuria (cystathionine beta-synthase deficiency)	MONDO:0009352	classic homocystinuria
Classical Ehlers-Danlos Syndrome	MONDO:0007522	Ehlers-Danlos syndrome, classic type
Classical Ehlers-Danlos syndrome	MONDO:0007522	Ehlers-Danlos syndrome, classic type
Classical Ehlers-Danlos syndrome (EDS Type I/II)	MONDO:0007522	Ehlers-Danlos syndrome, classic type
Classical homocystinuria (cystathionine beta-synthase deficiency)	MONDO:0009352	classic homocystinuria
Classical-like Ehlers-Danlos Syndrome	MONDO:0011670	Ehlers-Danlos syndrome due to tenascin-X deficiency
Cleidocranial dysostosis	MONDO:0007340	cleidocranial dysplasia 1
Cleidocranial dysplasia	MONDO:0007340	cleidocranial dysplasia 1
Clouston Syndrome (Hidrotic Ectodermal Dysplasia 2)	MONDO:0007510	Clouston syndrome
Clouston Syndrome (Hidrotic Ectodermal Dysplasia type 2)	MONDO:0007510	Clouston syndrome
Clouston Syndrome (Hidrotic Ectodermal Dysplasia)	MONDO:0007510	Clouston syndrome
Clouston syndrome (Hidrotic ectodermal dysplasia type 2)	MONDO:0007510	Clouston syndrome
Coats plus syndrome	MONDO:0012815	Coats plus syndrome
Cobalamin C deficiency (combined methylmalonic aciduria and homocystinuria)	MONDO:0010184	methylmalonic aciduria and homocystinuria type cblC
Cobblestone lissencephaly spectrum disorders	MONDO:0018869	cobblestone lissencephaly
Cobblestone lissencephaly syndromes	MONDO:0018869	cobblestone lissencephaly
Cochlear otosclerosis	MONDO:0005349	otosclerosis
Cockayne Syndrome	MONDO:0016006	Cockayne syndrome
Cockayne syndrome	MONDO:0016006	Cockayne syndrome
Cockayne syndrome Type II	MONDO:0019570	Cockayne syndrome type 2
Coenzyme Q10 deficiency	MONDO:0018151	coenzyme Q10 deficiency
Coffin-Lowry Syndrome	MONDO:0010561	Coffin-Lowry syndrome
Coffin-Lowry syndrome	MONDO:0010561	Coffin-Lowry syndrome
Coffin-Siris Syndrome	MONDO:0015452	Coffin-Siris syndrome
Coffin-Siris syndrome	MONDO:0015452	Coffin-Siris syndrome
Coffin–Siris syndrome	MONDO:0032702	Coffin-Siris syndrome 8
Cohen Syndrome	MONDO:0008999	Cohen syndrome
Cohen syndrome	MONDO:0008999	Cohen syndrome
Cole-Carpenter syndrome	MONDO:0016085	Cole-Carpenter syndrome
Collagen VI-Related Myopathies	MONDO:0100225	collagen 6-related myopathy
Collagen VI-Related Myopathy	MONDO:0100225	collagen 6-related myopathy
Collagen VI-related Myopathy (Bethlem Myopathy)	MONDO:0100225	collagen 6-related myopathy
Collagen VI-related congenital muscular dystrophy	MONDO:0100225	collagen 6-related myopathy
Collagen VI-related congenital muscular dystrophy (Ullrich CMD)	MONDO:0014654	Ullrich congenital muscular dystrophy 2
Collagen VI-related muscular dystrophy	MONDO:0100225	collagen 6-related myopathy
Collagen VI-related muscular dystrophy (e.g., Ullrich congenital muscular dystrophy)	MONDO:0014654	Ullrich congenital muscular dystrophy 2
Collagen VI-related myopathies (e.g., Bethlem myopathy, Ullrich congenital muscular dystrophy)	MONDO:0100225	collagen 6-related myopathy
Collagen VI-related myopathy	MONDO:0100225	collagen 6-related myopathy
Collagen VI-related myopathy (Bethlem Myopathy or Ullrich Congenital Muscular Dystrophy)	MONDO:0100225	collagen 6-related myopathy
Collagen VI-related myopathy (Bethlem Myopathy)	MONDO:0100225	collagen 6-related myopathy
Collagen VI-related myopathy (Bethlem myopathy)	MONDO:0100225	collagen 6-related myopathy
Collagen VI-related myopathy (Ullrich congenital muscular dystrophy)	MONDO:0100225	collagen 6-related myopathy
Combined Immunodeficiency	MONDO:0015131	combined immunodeficiency
Combined oxidative phosphorylation deficiency	MONDO:0000732	combined oxidative phosphorylation deficiency
Combined oxidative phosphorylation deficiency 1	MONDO:0012191	hepatoencephalopathy due to combined oxidative phosphorylation defect type 1
Combined oxidative phosphorylation deficiency disorders	MONDO:0000732	combined oxidative phosphorylation deficiency
Common Variable Immunodeficiency	MONDO:0015517	common variable immunodeficiency
Common Variable Immunodeficiency (CVID)	MONDO:0015517	common variable immunodeficiency
Common variable immunodeficiency	MONDO:0015517	common variable immunodeficiency
Common variable immunodeficiency (CVID)	MONDO:0015517	common variable immunodeficiency
Complement component C1q deficiency	MONDO:0013343	C1Q deficiency
Complement component C2 deficiency	MONDO:0009006	complement component 2 deficiency
Complement component C4 deficiency	MONDO:0013721	complement component 4a deficiency
Complement component deficiency (C1q, C2, or C4 deficiency)	MONDO:0000015	classic complement early component deficiency
Complicated Hereditary Spastic Paraplegia	MONDO:0015150	complex hereditary spastic paraplegia
Complicated hereditary spastic paraplegia	MONDO:0015150	complex hereditary spastic paraplegia
Cone Dystrophy	MONDO:0000455	cone dystrophy
Cone dystrophy	MONDO:0000455	cone dystrophy
Cone-Rod Dystrophy	MONDO:0007362; MONDO:0011458; MONDO:0015993; MONDO:0100438 (no common general term found)	AIPL1-related retinopathy; Leber congenital amaurosis 4; cone-rod dystrophy; cone-rod dystrophy 2
Cone-rod dystrophy	MONDO:0007362; MONDO:0011458; MONDO:0015993; MONDO:0100438 (no common general term found)	AIPL1-related retinopathy; Leber congenital amaurosis 4; cone-rod dystrophy; cone-rod dystrophy 2
Congenital Alopecia Universalis	MONDO:0008757	alopecia universalis congenita
Congenital Amegakaryocytic Thrombocytopenia	MONDO:0800451	congenital amegakaryocytic thrombocytopenia
Congenital Bilateral Perisylvian Polymicrogyria (CBPP)	MONDO:0011738	bilateral frontoparietal polymicrogyria
Congenital Cataract	MONDO:0015567	cataract-glaucoma syndrome
Congenital Cataracts	MONDO:0015567	cataract-glaucoma syndrome
Congenital Contractural Arachnodactyly	MONDO:0007363	congenital contractural arachnodactyly
Congenital Contractural Arachnodactyly (Beals Syndrome)	MONDO:0007363	congenital contractural arachnodactyly
Congenital Contractural Arachnodactyly (Beals syndrome)	MONDO:0007363	congenital contractural arachnodactyly
Congenital Cytomegalovirus (CMV) infection	MONDO:0017409	fetal cytomegalovirus syndrome
Congenital Disorder of Glycosylation	MONDO:0015286	congenital disorder of glycosylation
Congenital Disorder of Glycosylation (CDG)	MONDO:0015286	congenital disorder of glycosylation
Congenital Disorder of Glycosylation (CDG) Type I	MONDO:0012123	congenital disorder of glycosylation type 1E
Congenital Disorder of Glycosylation (CDG) Type Ia (PMM2-CDG)	MONDO:0008907	PMM2-congenital disorder of glycosylation
Congenital Disorder of Glycosylation (PMM2-CDG)	MONDO:0008907	PMM2-congenital disorder of glycosylation
Congenital Disorder of Glycosylation (e.g., PMM2-CDG)	MONDO:0008907	PMM2-congenital disorder of glycosylation
Congenital Disorder of Glycosylation Type II	MONDO:0005501; MONDO:0011933 (no common general term found)	ALG2-congenital disorder of glycosylation; congenital disorder of glycosylation type II
Congenital Disorder of Glycosylation Type IIe (COG7-CDG)	MONDO:0012118	COG7-congenital disorder of glycosylation
Congenital Disorder of Glycosylation Type IIh (TMEM199-CDG)	MONDO:0012123	congenital disorder of glycosylation type 1E
Congenital Disorder of Glycosylation Type Ia (PMM2-CDG)	MONDO:0008907	PMM2-congenital disorder of glycosylation
Congenital Disorder of Glycosylation type 1A (PMM2-CDG)	MONDO:0008907	PMM2-congenital disorder of glycosylation
Congenital Disorder of Glycosylation type Ia (PMM2-CDG)	MONDO:0008907	PMM2-congenital disorder of glycosylation
Congenital Disorders of Glycosylation	MONDO:0015286	congenital disorder of glycosylation
Congenital Disorders of Glycosylation (CDG Syndromes)	MONDO:0015286	congenital disorder of glycosylation
Congenital Disorders of Glycosylation (CDG)	MONDO:0015286	congenital disorder of glycosylation
Congenital Disorders of Glycosylation (CDG) syndrome	MONDO:0015286	congenital disorder of glycosylation
Congenital Distal Spinal Muscular Atrophy	MONDO:0010839	neuronopathy, distal hereditary motor, autosomal dominant 8
Congenital Fiber-Type Disproportion Myopathy	MONDO:0009711	congenital fiber-type disproportion myopathy
Congenital Generalized Lipodystrophy	MONDO:0006536; MONDO:0018883 (no common general term found)	congenital generalized lipodystrophy; Berardinelli-Seip congenital lipodystrophy
Congenital Generalized Lipodystrophy (Berardinelli-Seip Syndrome)	MONDO:0018883	Berardinelli-Seip congenital lipodystrophy
Congenital Generalized Lipodystrophy Type 1	MONDO:0012071	congenital generalized lipodystrophy type 1
Congenital Generalized Lipodystrophy Type 2	MONDO:0010020	congenital generalized lipodystrophy type 2
Congenital Hypomyelinating Neuropathy	MONDO:0017049	obsolete hypomyelination neuropathy-arthrogryposis syndrome
Congenital Hypothyroidism	MONDO:0018612	congenital hypothyroidism
Congenital Lactic Acidosis	MONDO:0009069	congenital lactic acidosis, Saguenay-Lac-Saint-Jean type
Congenital Long QT Syndrome	MONDO:0019171	familial long QT syndrome
Congenital Long QT Syndrome Type 3 (LQT3)	MONDO:0012314	short QT syndrome type 3
Congenital Muscular Dystrophies	MONDO:0019950	congenital muscular dystrophy
Congenital Muscular Dystrophy	MONDO:0019950	congenital muscular dystrophy
Congenital Muscular Dystrophy (CMD)	MONDO:0019950	congenital muscular dystrophy
Congenital Muscular Dystrophy Type 1A (Merosin-Deficient CMD)	MONDO:0011925	congenital merosin-deficient muscular dystrophy 1A
Congenital Muscular Dystrophy with Brain Malformations	MONDO:0009678	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4
Congenital Muscular Dystrophy with Central Nervous System Involvement	MONDO:0011009	muscular dystrophy, congenital, with severe central nervous system atrophy and absence of large myelinated fibers
Congenital Myasthenic Syndrome	MONDO:0018940	congenital myasthenic syndrome
Congenital Myasthenic Syndromes	MONDO:0018940	congenital myasthenic syndrome
Congenital Myasthenic Syndromes (CMS)	MONDO:0018940	congenital myasthenic syndrome
Congenital Myopathies	MONDO:0002921	congenital structural myopathy
Congenital Myopathy	MONDO:0019952	congenital myopathy
Congenital Myotonic Dystrophy	MONDO:0023595	congenital myotonic dystrophy
Congenital Myotonic Dystrophy (Type 1)	MONDO:0011486	congenital muscular dystrophy 1B
Congenital Myotonic Dystrophy Type 1	MONDO:0011486	congenital muscular dystrophy 1B
Congenital Nephrotic Syndrome (Finnish Type)	MONDO:0009732	congenital nephrotic syndrome, Finnish type
Congenital Rubella Syndrome	MONDO:0017361	congenital rubella syndrome
Congenital Rubella syndrome	MONDO:0017361	congenital rubella syndrome
Congenital Sick Sinus Syndrome	MONDO:0012061	familial sick sinus syndrome
Congenital Stationary Night Blindness	MONDO:0016293	congenital stationary night blindness
Congenital achromatopsia	MONDO:0018852	achromatopsia
Congenital adrenal hyperplasia	MONDO:0015898	adrenogenital syndrome
Congenital amegakaryocytic thrombocytopenia	MONDO:0800451	congenital amegakaryocytic thrombocytopenia
Congenital amegakaryocytic thrombocytopenia (CAMT)	MONDO:0011469	obsolete congenital amegakaryocytic thrombocytopenia
Congenital cerebellar ataxia	MONDO:0008943	autosomal recessive spinocerebellar ataxia 2
Congenital cerebellar hypoplasia	MONDO:0008939	isolated cerebellar hypoplasia/agenesis
Congenital combined pituitary hormone deficiency	MONDO:0018762	non-acquired combined pituitary hormone deficiency
Congenital contractural arachnodactyly	MONDO:0007363	congenital contractural arachnodactyly
Congenital contractural arachnodactyly (Beals syndrome)	MONDO:0007363	congenital contractural arachnodactyly
Congenital cytomegalovirus (CMV) infection	MONDO:0017409	fetal cytomegalovirus syndrome
Congenital cytomegalovirus infection	MONDO:0017409	fetal cytomegalovirus syndrome
Congenital disorder of glycosylation	MONDO:0015286	congenital disorder of glycosylation
Congenital disorder of glycosylation (CDG)	MONDO:0015286	congenital disorder of glycosylation
Congenital disorder of glycosylation (CDG) type Ia	MONDO:0012123	congenital disorder of glycosylation type 1E
Congenital disorder of glycosylation (PMM2-CDG)	MONDO:0008907	PMM2-congenital disorder of glycosylation
Congenital disorder of glycosylation type I	MONDO:0005500	congenital disorder of glycosylation type I
Congenital disorder of glycosylation type II	MONDO:0005501; MONDO:0011933 (no common general term found)	ALG2-congenital disorder of glycosylation; congenital disorder of glycosylation type II
Congenital disorder of glycosylation type II (CDG-II)	MONDO:0012123	congenital disorder of glycosylation type 1E
Congenital disorder of glycosylation type Ia (PMM2-CDG)	MONDO:0008907	PMM2-congenital disorder of glycosylation
Congenital disorders of glycosylation	MONDO:0015286	congenital disorder of glycosylation
Congenital disorders of glycosylation (CDG syndromes)	MONDO:0015286	congenital disorder of glycosylation
Congenital disorders of glycosylation (CDG)	MONDO:0015286	congenital disorder of glycosylation
Congenital disorders of glycosylation (CDG) syndromes	MONDO:0012123	congenital disorder of glycosylation type 1E
Congenital disorders of glycosylation (CDG) type Ia	MONDO:0012123	congenital disorder of glycosylation type 1E
Congenital disorders of glycosylation (PMM2-CDG)	MONDO:0008907	PMM2-congenital disorder of glycosylation
Congenital disorders of glycosylation type Ia (PMM2-CDG)	MONDO:0008907	PMM2-congenital disorder of glycosylation
Congenital disorders of glycosylation type Ib (MPI-CDG)	MONDO:0011257	MPI-congenital disorder of glycosylation
Congenital distal spinal muscular atrophy	MONDO:0010839	neuronopathy, distal hereditary motor, autosomal dominant 8
Congenital dyserythropoietic anemia	MONDO:0019403	congenital dyserythropoietic anemia
Congenital fiber type disproportion	MONDO:0009711	congenital fiber-type disproportion myopathy
Congenital fiber type disproportion myopathy	MONDO:0009711	congenital fiber-type disproportion myopathy
Congenital fiber-type disproportion myopathy	MONDO:0009711	congenital fiber-type disproportion myopathy
Congenital generalized lipodystrophy	MONDO:0006536; MONDO:0018883 (no common general term found)	congenital generalized lipodystrophy; Berardinelli-Seip congenital lipodystrophy
Congenital generalized lipodystrophy (Berardinelli-Seip congenital lipodystrophy)	MONDO:0018883	Berardinelli-Seip congenital lipodystrophy
Congenital generalized lipodystrophy type 1	MONDO:0012071	congenital generalized lipodystrophy type 1
Congenital generalized lipodystrophy type 2	MONDO:0010020	congenital generalized lipodystrophy type 2
Congenital generalized lipodystrophy type 4	MONDO:0013225	congenital generalized lipodystrophy type 4
Congenital glaucoma	MONDO:0020366	congenital glaucoma
Congenital heart defect	MONDO:0005453	congenital heart disease
Congenital hereditary endothelial dystrophy	MONDO:0020365	congenital hereditary endothelial dystrophy type I
Congenital hypomyelinating neuropathy	MONDO:0017049	obsolete hypomyelination neuropathy-arthrogryposis syndrome
Congenital hypopituitarism	MONDO:0018762	non-acquired combined pituitary hormone deficiency
Congenital hypothyroidism	MONDO:0018612	congenital hypothyroidism
Congenital hypothyroidism due to PAX8 mutations	MONDO:0024264	hypothyroidism, congenital, nongoitrous, 2
Congenital hypothyroidism due to thyroglobulin gene mutations	MONDO:0010142	hypothyroidism due to TSH receptor mutations
Congenital ichthyosiform erythroderma	MONDO:0019306	congenital non-bullous ichthyosiform erythroderma
Congenital ichthyosiform erythroderma (CIE)	MONDO:0019306	congenital non-bullous ichthyosiform erythroderma
Congenital insensitivity to pain (HSAN Type V)	MONDO:0018682	congenital insensitivity to pain with severe intellectual disability
Congenital insensitivity to pain with anhidrosis (CIPA)	MONDO:0014662	congenital insensitivity to pain-hypohidrosis syndrome
Congenital lactic acidosis	MONDO:0009069	congenital lactic acidosis, Saguenay-Lac-Saint-Jean type
Congenital methemoglobinemia	MONDO:0018963	hereditary methemoglobinemia
Congenital muscular dystrophy	MONDO:0019950	congenital muscular dystrophy
Congenital muscular dystrophy with rigid spine	MONDO:0018281	congenital muscular dystrophy with hyperlaxity
Congenital myasthenic syndrome	MONDO:0018940	congenital myasthenic syndrome
Congenital myasthenic syndrome (AChE deficiency)	MONDO:0011600	congenital myasthenic syndrome 4A
Congenital myasthenic syndrome (CHRNE mutation)	MONDO:0012157	congenital myasthenic syndrome 4C
Congenital myasthenic syndrome (RAPSN mutation)	MONDO:0014588	congenital myasthenic syndrome 11
Congenital myasthenic syndromes	MONDO:0018940	congenital myasthenic syndrome
Congenital myopathy	MONDO:0019952	congenital myopathy
Congenital myotonic dystrophy	MONDO:0023595	congenital myotonic dystrophy
Congenital nephrotic syndrome (Finnish type)	MONDO:0009732	congenital nephrotic syndrome, Finnish type
Congenital nephrotic syndrome of the Finnish type	MONDO:0009732	congenital nephrotic syndrome, Finnish type
Congenital optic atrophy	MONDO:0043878	hereditary optic atrophy
Congenital optic nerve hypoplasia	MONDO:0008136	isolated optic nerve hypoplasia
Congenital retinal dystrophy	HP:0000556	Retinal dystrophy
Congenital rubella syndrome	MONDO:0017361	congenital rubella syndrome
Congenital sideroblastic anemia	MONDO:0016828	autosomal recessive sideroblastic anemia
Congenital stationary night blindness	MONDO:0016293	congenital stationary night blindness
Congenital stationary night blindness (Riggs type)	MONDO:0012498	congenital stationary night blindness autosomal dominant 1
Congenital toxoplasmosis	MONDO:0005715	congenital toxoplasmosis
Conotruncal anomaly face syndrome	MONDO:0016581; MONDO:0018923 (no common general term found)	conotruncal heart malformations; 22q11.2 deletion syndrome
Conradi-Hünermann-Happle syndrome	MONDO:0020603	X-linked chondrodysplasia punctata 2
Constitutional Mismatch Repair Deficiency Syndrome	MONDO:0010159	mismatch repair cancer syndrome 1
Cornelia de Lange Syndrome	MONDO:0016033	Cornelia de Lange syndrome
Cornelia de Lange syndrome	MONDO:0016033	Cornelia de Lange syndrome
Corpus callosum agenesis-intellectual disability syndrome	MONDO:0019426	X-linked intellectual disability-corpus callosum agenesis-spastic quadriparesis syndrome
Cortical Dysplasia-Focal Epilepsy Syndrome	MONDO:0012400	cortical dysplasia-focal epilepsy syndrome
Cortical dysplasia	MONDO:0017094	cerebral cortical dysplasia
Cortical malformations (e.g., focal cortical dysplasia)	MONDO:0019009	isolated focal cortical dysplasia
Corticobasal Degeneration	MONDO:0022308	corticobasal degeneration disorder
Corticobasal degeneration	MONDO:0022308	corticobasal degeneration disorder
Costello Syndrome	MONDO:0009026	Costello syndrome
Costello syndrome	MONDO:0009026	Costello syndrome
Cowden Syndrome	MONDO:0016063	Cowden disease
Cowden syndrome	MONDO:0016063	Cowden disease
Cowden syndrome (PTEN hamartoma tumor syndrome)	MONDO:0016063	Cowden disease
Craniodiaphyseal dysplasia	MONDO:0009031	craniodiaphyseal dysplasia
Cranioectodermal Dysplasia	MONDO:0009032	cranioectodermal dysplasia
Cranioectodermal Dysplasia (Sensenbrenner Syndrome)	MONDO:0009032	cranioectodermal dysplasia
Cranioectodermal dysplasia (Sensenbrenner syndrome)	MONDO:0009032	cranioectodermal dysplasia
Craniofacial microsomia	MONDO:0015397	craniofacial microsomia
Craniofrontonasal dysplasia	MONDO:0010570	craniofrontonasal syndrome
Craniofrontonasal syndrome	MONDO:0010570	craniofrontonasal syndrome
Craniometaphyseal dysplasia	MONDO:0015465	craniometaphyseal dysplasia
Creatine transporter deficiency	MONDO:0010305	creatine transporter deficiency
Creatine transporter deficiency (SLC6A8 deficiency)	MONDO:0010305	creatine transporter deficiency
Creutzfeldt-Jakob Disease	MONDO:0005357	Creutzfeldt Jacob disease
Creutzfeldt-Jakob disease	MONDO:0005357	Creutzfeldt Jacob disease
Cri du Chat Syndrome	MONDO:0007404	Cri-du-chat syndrome
Cri du Chat syndrome	MONDO:0007404	Cri-du-chat syndrome
Cri du Chat syndrome (5p deletion syndrome)	MONDO:0007404	Cri-du-chat syndrome
Cri du Chat syndrome (Chromosome 5p deletion)	MONDO:0007404	Cri-du-chat syndrome
Cri du chat syndrome	MONDO:0007404	Cri-du-chat syndrome
Cri-du-Chat syndrome	MONDO:0007404	Cri-du-chat syndrome
Cri-du-chat Syndrome	MONDO:0007404	Cri-du-chat syndrome
Cri-du-chat syndrome	MONDO:0007404	Cri-du-chat syndrome
Cri-du-chat syndrome (5p deletion syndrome)	MONDO:0007404	Cri-du-chat syndrome
Cri-du-chat syndrome (5p minus syndrome)	MONDO:0007404	Cri-du-chat syndrome
Crossed polydactyly (Type II)	MONDO:0008286	crossed polysyndactyly
Crossed polydactyly (Type IV)	MONDO:0008286	crossed polysyndactyly
Crouzon syndrome	MONDO:0007405	Crouzon syndrome
Currarino syndrome	MONDO:0008305	Currarino triad
Cushing's Syndrome	MONDO:0018912	Cushing syndrome
Cushing's syndrome	MONDO:0018912	Cushing syndrome
Cutis Laxa	MONDO:0016175	cutis laxa
Cutis laxa	MONDO:0016175	cutis laxa
Cutis laxa syndrome	MONDO:0016175	cutis laxa
Cutis laxa, autosomal recessive type II (ATP6V0A2-related cutis laxa)	MONDO:0018163	autosomal recessive cutis laxa type 2A
Cutis marmorata telangiectatica congenita	MONDO:0009055	cutis marmorata telangiectatica congenita
Cystathioninuria	MONDO:0009058	cystathioninuria
Cystic Fibrosis	MONDO:0009061	cystic fibrosis
Cystic fibrosis	MONDO:0009061	cystic fibrosis
Cystinosis	MONDO:0016239	cystinosis
Cytochrome c oxidase (complex IV) deficiency	MONDO:0009068	cytochrome-c oxidase deficiency disease
